trainee_id,trainer_id,training_name,training_type_id,training_date,training_duration
1,2,Basic Yoga,3,2026-04-03,30
2,4,Core Pilates,4,2026-04-05,45
3,6,Conditioning Circuit,5,2026-04-07,60
4,8,Stability Workout,8,2026-04-09,75
5,10,Morning Cardio,1,2026-04-11,90
6,12,Mobility Stretch,6,2026-04-13,30
7,14,Mobility Pilates,4,2026-04-15,45
8,1,Fat Burn Session,1,2026-04-17,60
9,3,Upper Body Strength,2,2026-04-19,75
10,5,Mobility Stretch,6,2026-04-21,90
11,7,Footwork Boxing,7,2026-04-23,30
12,9,Breathing Practice,3,2026-04-25,45
13,11,Upper Body Strength,2,2026-04-27,60
14,13,Metcon Session,5,2026-04-29,75
15,15,Movement Patterns,8,2026-05-01,90
1,2,Breathing Practice,3,2026-05-03,30
2,4,Pilates Basics,4,2026-05-05,45
3,6,Metcon Session,5,2026-05-07,60
4,8,Movement Patterns,8,2026-05-09,75
5,10,Fat Burn Session,1,2026-05-11,90
6,12,Full Body Stretch,6,2026-05-13,30
7,14,Core Pilates,4,2026-05-15,45
8,1,Endurance Ride,1,2026-05-17,60
9,3,Core Strength,2,2026-05-19,75
10,5,Full Body Stretch,6,2026-05-21,90
11,7,Heavy Bag Work,7,2026-05-23,30
12,9,Balance Flow,3,2026-05-25,45
13,11,Core Strength,2,2026-05-27,60
14,13,CrossFit WOD,5,2026-05-29,75
15,15,Bodyweight Training,8,2026-05-31,90
1,2,Balance Flow,3,2026-06-02,30
2,4,Posture Class,4,2026-06-04,45
3,6,CrossFit WOD,5,2026-06-06,60
4,8,Bodyweight Training,8,2026-06-08,75
5,10,Endurance Ride,1,2026-04-01,90
6,12,Flexibility Work,6,2026-04-03,30
7,14,Pilates Basics,4,2026-04-05,45
8,1,Interval Run,1,2026-04-07,60
9,3,Power Training,2,2026-04-09,75
10,5,Flexibility Work,6,2026-04-11,90
11,7,Boxing Technique,7,2026-04-13,30
12,9,Evening Yoga,3,2026-04-15,45
13,11,Power Training,2,2026-04-17,60
14,13,AMRAP Training,5,2026-04-19,75
15,15,Functional Circuit,8,2026-04-21,90
1,2,Evening Yoga,3,2026-04-23,30
2,4,Mobility Pilates,4,2026-04-25,45
3,6,AMRAP Training,5,2026-04-27,60
4,8,Functional Circuit,8,2026-04-29,75
5,10,Interval Run,1,2026-05-01,90
6,12,Recovery Stretch,6,2026-05-03,30
7,14,Posture Class,4,2026-05-05,45
8,1,Morning Cardio,1,2026-05-07,60
9,3,Leg Day,2,2026-05-09,75
10,5,Recovery Stretch,6,2026-05-11,90
11,7,Boxing Conditioning,7,2026-05-13,30
12,9,Basic Yoga,3,2026-05-15,45
13,11,Leg Day,2,2026-05-17,60
14,13,Conditioning Circuit,5,2026-05-19,75
15,15,Stability Workout,8,2026-05-21,90
